slug,название,номинал,единица_номинала,год,монетный_двор,era,sub_period,type,material,series,разновидность,тираж,диаметр_мм,толщина_мм,вес_г,гурт,цена_vf20,цена_ef40,цена_au50,цена_ms63,цена_ms65,описание,описание_аверс,описание_реверс
1r-1999-200-letie-so-dnya-rozhdeniya-a-s-pushkina,200-летие со дня рождения А.С. Пушкина,1,рубль,1999,ММД,rf,post-reform,jubilee,cupronickel,200-letie-so-dnya-rozhdeniya-pushkina,,10000000,20.5,1.5,3.25,рифлёное,0,0,0,0,0,Официальная памятная монета 1 рубль (1999) с темой «200-летие со дня рождения А.С. Пушкина»; штемпель ММД. Входит в тематическую группу «Выдающиеся личности России». По официальным данным эмиссии тираж составил 10 000 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. Сохраняйте монету от влаги и механических повреждений — для памятных выпусков критична сохранность деталей рельефа.,"в центре диска — эмблема Банка России (двуглавый орёл художника И.Билибина), над ней — надпись полукругом «БАНК РОССИИ», под ней номинал — «ОДИН РУБЛЬ», подчёркнутый горизонтальной линией, разделённой посредине точкой, внизу — «1999 г.», справа — товарный знак монетного двора.","профильный автопортрет А.С.Пушкина, под ним — в четыре строки подпись факсимиле «АЛЕКСАНДР ПУШКИН» и даты «1799» «1837»."
2r-2000-55-ya-godovshchina-pobedy-v-velikoy-otechestvennoy-voyne-1941-1945-gg,55-я годовщина Победы в Великой Отечественной войне 1941-1945 гг,2,рубль,2000,СПМД,rf,post-reform,jubilee,cupronickel,bez-serii,,10000000,23,1.8,5.1,Прерывисто-рифлёный,0,0,0,0,0,Официальная памятная монета 2 рубля (2000) с темой «55-я годовщина Победы в Великой Отечественной войне 1941-1945 гг»; штемпель СПМД. Технология изготовления для круга обращения: мельхиор (медно-никелевый сплав). Официальный тираж — 10 000 000 шт.; для ориентира по рынку смотрите состояние и полноту комплекта. Рыночная котировка в первую очередь следует за сохранностью и редкостью штемпельных разновидностей.,"в центре диска - обозначение достоинства монеты в две строки ""2 РУБЛЯ"", ниже - надпись: ""БАНК РОССИИ"", под ней - дата ""2000"", слева и справа - стилизованная ветка растения.","две грузовые автомашины, едущие по льду, слева - медаль ""Золотая Звезда"", справа - дорожный указатель, фонтан воды и осколки льда от разорвавшегося снаряда, на втором плане - очертания шпиля Адмиралтейства, внизу по окружности - надпись: ""ЛЕНИНГРАД""."
10r-2000-55-ya-godovshchina-pobedy-v-velikoy-otechestvennoy-voyne-1941-1945-gg,55-я годовщина Победы в Великой Отечественной войне 1941-1945 гг,10,рубль,2000,СПМД,rf,post-reform,jubilee,gvs,bez-serii,,0,27,20,0,"300 рифлений и надписи ""ДЕСЯТЬ РУБЛЕЙ"", повторяющиеся дважды, разделённые звёздочками",0,0,0,0,0,"Каталожная карточка: 10 рублей, 2000 год, монетный двор — СПМД. Тематика выпуска — «55-я годовщина Победы в Великой Отечественной войне 1941-1945 гг».  По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБЛЕЙ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата ""2000"", слева и справа - стилизованные ветви растений, переходящие на диск.","изображения солдата и контура пятиконечной звезды, переходящие с диска на кольцо. В верхней части кольца по окружности - надпись: ""55 ЛЕТ ВЕЛИКОЙ ПОБЕДЫ"", в нижней части - даты ""1941"" ""1945""."
1r-2001-10-letie-sodruzhestva-nezavisimykh-gosudarstv,10-летие Содружества Независимых Государств,1,рубль,2001,СПМД,rf,post-reform,jubilee,cupronickel,bez-serii,,10000000,20.5,1.5,3.25,рифленое,0,0,0,0,0,"Выпуск 2001 года, 1 рубль, монетный двор — СПМД: на реверсе раскрывается тема «10-летие Содружества Независимых Государств» в рамках официальной памятной программы. Для оценки экземпляра важны сохранность штемпеля и полнота комплекта. По официальным данным эмиссии тираж составил 10 000 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска — двуглавый орел с опущенными крыльями, над ним – надпись полукругом ""БАНК РОССИИ"", под ним – номинал ""ОДИН РУБЛЬ"", подчеркнутый горизонтальной линией, разделенной посередине точкой, внизу — ""2001 г."", справа — товарный знак монетного двора.","изображение эмблемы Содружества Независимых Государств, внизу — шестиугольник в обрамлении листьев, на его поверхности — скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и слова ""ЛЕТ"", по окружности — надпись: ""СОДРУЖЕСТВО НЕЗАВИСИМЫХ ГОСУДАРСТВ""."
2r-2001-40-letie-kosmicheskogo-poleta-yu-a-gagarina,40-летие космического полета Ю.А. Гагарина,2,рубль,2001,СПМД,rf,post-reform,jubilee,cupronickel,bez-serii,,0,23,20,5.1,прерывистое рифление,0,0,0,0,0,Официальная памятная монета 2 рубля (2001) с темой «40-летие космического полета Ю.А. Гагарина»; штемпель СПМД. Оформлена как самостоятельный сюжет без привязки к крупной серии в базе проекта.  Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.,"в центре диска — обозначение достоинства монеты в две строки «2 РУБЛЯ», ниже — надпись: «БАНК РОССИИ», под ней — дата «2001», слева и справа — стилизованная ветка растения.","портрет Ю.А. Гагарина, под ним — подпись-факсимиле «ГАГАРИН», справа в две строки — надпись: «12 АПРЕЛЯ 1961 Г.»."
10r-2001-40-letie-kosmicheskogo-poleta-yu-a-gagarina,40-летие космического полета Ю.А. Гагарина,10,рубль,2001,СПМД,rf,post-reform,jubilee,bimetal,bez-serii,,20000000,27,0,0,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделённая звёздочками",0,0,0,0,0,"Памятный выпуск номиналом 10 рублей (2001, монетный двор — СПМД) — отдельная позиция в каталоге современной России: сюжет «40-летие космического полета Ю.А. Гагарина». Материал заготовки по паспорту выпуска: биметаллическая заготовка. По официальным данным эмиссии тираж составил 20 000 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","в центре диска — обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" — скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и слова ""РУБЛЕЙ"". В нижней части диска — товарный знак монетного двора. В верхней части кольца по окружности — надпись: ""БАНК РОССИИ"", в нижней — дата ""2001"", слева и справа — стилизованные ветви растений, переходящие на диск.","изображение Ю.А. Гагарина в скафандре, под ним — подпись-факсимиле ""ГАГАРИН"", вверху по окружности — надпись: ""12 АПРЕЛЯ 1961 ГОДА""."
10r-2002-200-letie-obrazovaniya-v-rossii-ministerstv,200-летие образования в России министерств,10,рубль,2002,ММД,rf,post-reform,jubilee,cupronickel,bez-serii,,0,27,5,0,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Каталожная карточка: 10 рублей, 2002 год, монетный двор — ММД. Тематика выпуска — «200-летие образования в России министерств».   Сохраняйте монету от влаги и механических повреждений — для памятных выпусков критична сохранность деталей рельефа.","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата ""2002"", слева и справа - стилизованные ветви растений, переходящие на диск.","в центре - эмблема вооруженных сил Российской Федерации, по окружности - надпись: ""ВООРУЖЕННЫЕ СИЛЫ РОССИЙСКОЙ ФЕДЕРАЦИИ""."
10r-2002-derbent,Дербент,10,рубль,2002,ММД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Выпуск 2002 года, 10 рублей, монетный двор — ММД: на реверсе раскрывается тема «Дербент» в рамках официальной памятной программы.   В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" -скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата ""2002"", слева и справа - стилизованные ветви растений, переходящие на диск.","изображение города-крепости на фоне гор, над ним - герб города Дербента, справа - стилизованная ветвь винограда, по окружности - надписи: вверху - ""ДРЕВНИЕ ГОРОДА РОССИИ"", внизу - ""ДЕРБЕНТ""."
10r-2002-staraya-russa,Старая Русса,10,рубль,2002,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Выпуск 2002 года, 10 рублей, монетный двор — СПМД: на реверсе раскрывается тема «Старая Русса» в рамках официальной памятной программы.  По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. ","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата ""2002"", слева и справа - стилизованные ветви растений, переходящие на диск.","слева - фонтан целебного источника, выше - герб города Старой Руссы, на втором плане справа - Воскресенский собор (XVII в.), по окружности - надписи: вверху - ""ДРЕВНИЕ ГОРОДА РОССИИ"", внизу - ""СТАРАЯ РУССА""."
10r-2002-kostroma,Кострома,10,рубль,2002,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,".300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,Официальная памятная монета 10 рублей (2002) с темой «Кострома»; штемпель СПМД.   Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.,"в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""О"" -скрытые, видимые поочередно при изменении угла зрения изображения цифры "" 10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата ""2002"", слева и справа - стилизованные ветви растений, переходящие на диск.","слева - ""Беседка Островского"", на втором плане - Ипатьевский монастырь (XVI-XVIII вв.) на берегу реки, над ним - герб города Костромы, по окружности - надписи: вверху - ""ДРЕВНИЕ ГОРОДА РОССИИ"", внизу - ""КОСТРОМА""."
10r-2003-murom,Муром,10,рубль,2003,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделённая звёздочками",0,0,0,0,0,"Номинал 10 рублей, год чеканки 2003, монетный двор — СПМД. Предмет коллекционирования — памятная монета с наименованием «Муром». Материал заготовки по паспорту выпуска: мельхиор (медно-никелевый сплав). Число отчеканенных экземпляров в данной строке не указано — имеет смысл свериться с расширенными каталогами (Конрос, «Монеты России»). В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата: ""2003"", слева и справа - стилизованные ветви растений, переходящие на диск.","изображения церквей, утопающих в зелени деревьев, выше - два герба города Мурома, на первом плане - река и рыбак в лодке, по окружности - надписи: вверху - ""ДРЕВНИЕ ГОРОДА РОССИИ"", внизу - ""МУРОМ""."
10r-2003-dorogobuzh,Дорогобуж,10,рубль,2003,ММД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделённая звёздочками",0,0,0,0,0,"Номинал 10 рублей, год чеканки 2003, монетный двор — ММД. Предмет коллекционирования — памятная монета с наименованием «Дорогобуж». Технология изготовления для круга обращения: мельхиор (медно-никелевый сплав). По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата: ""2003"", слева и справа - стилизованные ветви растений, переходящие на диск.","изображение панорамы города на берегу реки, выше - герб города Дорогобужа, на первом плане справа - памятник героям Отечественной войны 1812 года, по окружности - надписи: вверху - ""ДРЕВНИЕ ГОРОДА РОССИИ"", внизу - ""ДОРОГОБУЖ""."
10r-2003-kasimov,Касимов,10,рубль,2003,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделённая звёздочками",0,0,0,0,0,"Выпуск 2003 года, 10 рублей, монетный двор — СПМД: на реверсе раскрывается тема «Касимов» в рамках официальной памятной программы. Серия в каталоге: «Древние города России».  В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата: ""2003"", слева и справа - стилизованные ветви растений, переходящие на диск.","изображение панорамы города на берегу реки, выше - герб города Касимова, на первом плане - плывущий пароход, по окружности - надписи: вверху - ""ДРЕВНИЕ ГОРОДА РОССИИ"", внизу - ""КАСИМОВ""."
10r-2003-pskov,Псков,10,рубль,2003,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись ""ДЕСЯТЬ РУБЛЕЙ"", повторяющаяся дважды, разделённая звёздочками",0,0,0,0,0,"Памятный выпуск номиналом 10 рублей (2003, монетный двор — СПМД) — отдельная позиция в каталоге современной России: сюжет «Псков». Материал заготовки по паспорту выпуска: мельхиор (медно-никелевый сплав). По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. Сохраняйте монету от влаги и механических повреждений — для памятных выпусков критична сохранность деталей рельефа.","в центре диска - обозначение достоинства монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". В нижней части диска - товарный знак монетного двора. В верхней части кольца по окружности - надпись: ""БАНК РОССИИ"", в нижней - дата: ""2003"", слева и справа - стилизованные ветви растений, переходящие на диск.","изображение Псковского кремля на берегу реки, выше - герб города Пскова, по окружности - надписи: вверху - ""ДРЕВНИЕ ГОРОДА РОССИИ"", внизу - ""ПСКОВ""."
10r-2004-dmitrov,Дмитров,10,рубль,2004,ММД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,Юбилейная монета 10 рублей 2004 года (ММД) посвящена теме «Дмитров» — для коллекционера это прежде всего сюжет и сохранность. Серия в каталоге: «Древние города России». По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. ,"в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зренияизображения цифры «10» и надписи «РУБ».В нижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ»,в нижней – дата «2004», слева и справа –стилизованные ветви растений, переходящие на диск.","на фоне панорамы города – изображение Успенского собора Дмитровского Кремля, выше – герб города Дмитрова, по окружности – надписи: вверху – «ДРЕВНИЕ ГОРОДАРОССИИ», внизу – «ДМИТРОВ»."
10r-2004-ryazhsk,Ряжск,10,рубль,2004,ММД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Представитель памятной эмиссии 2004 года (10 рублей), монетный двор — ММД: «Ряжск». Для оценки экземпляра важны сохранность штемпеля и полнота комплекта. Точный тираж в таблице не проставлен: при покупке сверяйте паспорт монеты и независимые каталоги. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». В нижней части диска – товарный знак монетного двора. В верхней части кольцапо окружности – надпись: «БАНК РОССИИ», в нижней – дата «2004», слева и справа – стилизованные ветви растений, переходящиена диск.","изображения церквей, слева – герб города Ряжска, на первом плане – путепровод, по окружности – надписи: вверху – «ДРЕВНИЕГОРОДА РОССИИ», внизу – «РЯЖСК»."
10r-2004-kem,Кемь,10,рубль,2004,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,Официальная памятная монета 10 рублей (2004) с темой «Кемь»; штемпель СПМД.  По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. Сохраняйте монету от влаги и механических повреждений — для памятных выпусков критична сохранность деталей рельефа.,"в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». В нижней части диска – товарный знак монетного двора. В верхней части кольцапо окружности – надпись: «БАНК РОССИИ», в нижней – дата «2004», слева и справа – стилизованные ветви растений, переходящиена диск.","изображение панорамы города с Успенской часовней на втором плане, выше – герб города Кеми, на первом плане – лодки на реке, по окружности – надписи вверху – «ДРЕВНИЕ ГОРОДА РОССИИ», внизу – «КЕМЬ»."
10r-2005-60-ya-godovshchina-pobedy-v-velikoy-otechestvennoy-voyne-1941-1945-gg,60-я годовщина Победы в Великой Отечественной войне 1941-1945 гг.,10,рубль,2005,СПМД,rf,post-reform,jubilee,cupronickel,bez-serii,,0,27,60,0,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Номинал 10 рублей, год чеканки 2005, монетный двор — СПМД. Предмет коллекционирования — памятная монета с наименованием «60-я годовщина Победы в Великой Отечественной войне 1941-1945 гг.».   В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». Внижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ», в нижней – дата «2005», слева и справа – стилизованные ветви растений, переходящие на диск.","на диске – Вечный огонь в виде пятиконечной звезды в обрамлении ленты, изображающей цифру «60», внизу – даты «1941-1945», на кольце по окружности – надпись: «НИКТО НЕ ЗАБЫТ, НИЧТО НЕ ЗАБЫТО», внизу – изображение ветви лавра."
10r-2005-mtsensk,Мценск,10,рубль,2005,ММД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,Юбилейная монета 10 рублей 2005 года (ММД) посвящена теме «Мценск» — для коллекционера это прежде всего сюжет и сохранность. Серия в каталоге: «Древние города России». Точный тираж в таблице не проставлен: при покупке сверяйте паспорт монеты и независимые каталоги. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.,"в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». Внижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ», в нижней – дата «2005», слева и справа – стилизованные ветви растений, переходящие на диск.","изображение панорамы города, выше – герб города Мценска, по окружности – надписи: вверху – «ДРЕВНИЕ ГОРОДА РОССИИ», внизу – «МЦЕНСК»."
10r-2005-borovsk,Боровск,10,рубль,2005,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,Официальная памятная монета 10 рублей (2005) с темой «Боровск»; штемпель СПМД. Технология изготовления для круга обращения: мельхиор (медно-никелевый сплав). По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. Сохраняйте монету от влаги и механических повреждений — для памятных выпусков критична сохранность деталей рельефа.,"в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». Внижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ», в нижней – дата «2005», слева и справа – стилизованные ветви растений, переходящие на диск.","изображение панорамы города, выше – герб города Боровска, по окружности – надписи: вверху – «ДРЕВНИЕ ГОРОДА РОССИИ», внизу – «БОРОВСК»."
10r-2005-kazan,Казань,10,рубль,2005,СПМД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Официальная памятная монета 10 рублей (2005) с темой «Казань»; штемпель СПМД.  По этой позиции в открытых банковских сводках тираж не унифицирован или не перенесён в базу — ориентируйтесь на каталоги и аукционную статистику. Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». Внижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ», в нижней – дата «2005», слева и справа – стилизованные ветви растений, переходящие на диск.","изображение панорамы города на берегу реки, выше – герб города Казани, по окружности – надписи: вверху – «ДРЕВНИЕ ГОРОДА РОССИИ», внизу – «КАЗАНЬ»."
10r-2005-kaliningrad,Калининград,10,рубль,2005,ММД,rf,post-reform,jubilee,cupronickel,drevnie-goroda-rossii,,0,27,5,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Выпуск 2005 года, 10 рублей, монетный двор — ММД: на реверсе раскрывается тема «Калининград» в рамках официальной памятной программы.   Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». Внижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ», в нижней – дата «2005», слева и справа – стилизованные ветви растений, переходящие на диск.","изображение панорамы города на берегу реки, выше – герб города Калининграда, по окружности – надписи: вверху – «ДРЕВНИЕ ГОРОДА РОССИИ», внизу – «КАЛИНИНГРАД»."
10r-2005-tverskaya-oblast,Тверская область,10,рубль,2005,ММД,rf,post-reform,jubilee,cupronickel,rossiyskaya-federatsiya,,0,27,10,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Памятный выпуск номиналом 10 рублей (2005, монетный двор — ММД) — отдельная позиция в каталоге современной России: сюжет «Тверская область». Относится к линейке «Российская Федерация» — это задаёт нумизматический контекст подбора. Точный тираж в таблице не проставлен: при покупке сверяйте паспорт монеты и независимые каталоги. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». В нижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ», в нижней – дата «2005», слева и справа – стилизованные ветви растений, переходящие на диск.","изображение герба Тверской области, по окружности – надписи: вверху – «РОССИЙСКАЯ ФЕДЕРАЦИЯ», внизу – «ТВЕРСКАЯ ОБЛАСТЬ»."
10r-2005-orlovskaya-oblast,Орловская область,10,рубль,2005,ММД,rf,post-reform,jubilee,cupronickel,rossiyskaya-federatsiya,,0,27,10,8.4,"300 рифлений и надпись «ДЕСЯТЬ РУБЛЕЙ», повторяющаяся дважды, разделенная звездочками",0,0,0,0,0,"Каталожная карточка: 10 рублей, 2005 год, монетный двор — ММД. Тематика выпуска — «Орловская область». Для оценки экземпляра важны сохранность штемпеля и полнота комплекта. Точный тираж в таблице не проставлен: при покупке сверяйте паспорт монеты и независимые каталоги. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска – обозначение достоинства монеты «10 РУБЛЕЙ». Внутри цифры «0» – скрытые, видимые поочередно при изменении угла зрения изображения цифры «10» и надписи «РУБ». В нижней части диска – товарный знак монетного двора. В верхней части кольца по окружности – надпись: «БАНК РОССИИ», в нижней – дата «2005», слева и справа – стилизованные ветви растений, переходящие на диск.","изображение герба Орловской области, по окружности – надписи: вверху – «РОССИЙСКАЯ ФЕДЕРАЦИЯ», внизу – «ОРЛОВСКАЯ ОБЛАСТЬ»."
